Date,VNI_Close,Change,Volume,Transaction_value,a,b,c,d
26/07/2021,"1272,71","+3,88(+0,31%)",508.547.170,"16.137,00 tỷ",28.582.048,"1.327,58 tỷ",31.492.900,"1.398,27 tỷ"
23/07/2021,"1268,83","-24,84(-1,92%)",582.254.124,"19.329,00 tỷ",27.622.815,"1.336,78 tỷ",31.768.311,"1.547,27 tỷ"
22/07/2021,"1293,67","+22,88(+1,80%)",536.411.753,"17.006,00 tỷ",30.717.271,"1.245,60 tỷ",33.775.311,"1.772,32 tỷ"
21/07/2021,"1270,79","-2,50(-0,20%)",451.951.637,"16.003,00 tỷ",26.338.600,"1.441,20 tỷ",49.096.528,"2.892,32 tỷ"
20/07/2021,"1273,29","+29,78(+2,39%)",568.601.882,"17.879,00 tỷ",44.456.300,"1.772,28 tỷ",44.582.600,"2.080,51 tỷ"
19/07/2021,"1243,51","-55,80(-4,29%)",731.023.345,"21.848,00 tỷ",33.271.234,"1.462,51 tỷ",38.762.934,"1.560,85 tỷ"
16/07/2021,"1299,31","+5,39(+0,42%)",465.415.299,"15.458,00 tỷ",36.443.700,"1.751,41 tỷ",40.403.100,"1.682,43 tỷ"
15/07/2021,"1293,92","+14,01(+1,09%)",439.929.193,"15.144,00 tỷ",52.228.700,"2.308,85 tỷ",30.812.010,"1.571,96 tỷ"
14/07/2021,"1279,91","-17,63(-1,36%)",592.758.094,"19.324,00 tỷ",50.379.080,"2.457,82 tỷ",43.255.780,"2.122,98 tỷ"
13/07/2021,"1297,54","+1,24(+0,10%)",539.601.346,"15.915,00 tỷ",38.209.500,"1.565,49 tỷ",35.863.200,"1.777,03 tỷ"
12/07/2021,"1296,30","-50,84(-3,77%)",961.739.463,"31.615,00 tỷ",80.759.300,"3.354,04 tỷ",36.973.000,"1.952,81 tỷ"
09/07/2021,"1347,14","-27,54(-2,00%)",760.341.110,"25.709,00 tỷ",52.778.800,"2.708,60 tỷ",33.267.676,"1.919,49 tỷ"
08/07/2021,"1374,68","-13,87(-1,00%)",552.300.939,"20.198,00 tỷ",40.280.272,"2.007,52 tỷ",40.940.672,"2.246,04 tỷ"
07/07/2021,"1388,55","+33,76(+2,49%)",785.186.460,"26.596,00 tỷ",83.339.660,"3.719,42 tỷ",35.400.360,"1.638,08 tỷ"
06/07/2021,"1354,79","-56,34(-3,99%)",803.157.293,"28.673,00 tỷ",36.958.383,"1.979,61 tỷ",37.046.883,"1.932,92 tỷ"
05/07/2021,"1411,13","-9,14(-0,64%)",817.327.351,"28.036,00 tỷ",34.577.630,"1.741,80 tỷ",35.148.330,"1.810,64 tỷ"
02/07/2021,"1420,27","+3,19(+0,23%)",706.826.827,"26.040,00 tỷ",42.120.530,"3.094,76 tỷ",24.172.218,"1.161,60 tỷ"
01/07/2021,"1417,08","+8,53(+0,61%)",753.563.531,"26.131,00 tỷ",32.571.000,"1.452,71 tỷ",31.708.200,"1.684,47 tỷ"
30/06/2021,"1408,55","-1,49(-0,11%)",595.285.664,"21.055,00 tỷ",46.126.412,"3.182,38 tỷ",30.056.077,"1.426,15 tỷ"
29/06/2021,"1410,04","+4,23(+0,30%)",647.389.173,"21.324,00 tỷ",32.128.700,"1.606,97 tỷ",32.762.422,"1.560,85 tỷ"
28/06/2021,"1405,81","+15,69(+1,13%)",699.512.167,"23.192,00 tỷ",24.089.600,"1.176,14 tỷ",29.214.777,"1.392,30 tỷ"
25/06/2021,"1390,12","+10,40(+0,75%)",598.105.590,"19.127,00 tỷ",29.085.200,"1.541,52 tỷ",31.476.590,"1.458,58 tỷ"
24/06/2021,"1379,72","+2,85(+0,21%)",591.749.340,"18.484,00 tỷ",28.294.400,"1.195,73 tỷ",23.181.773,"1.010,93 tỷ"
23/06/2021,"1376,87","-3,10(-0,22%)",710.770.695,"21.124,00 tỷ",25.085.700,"1.343,71 tỷ",23.039.000,"1.179,48 tỷ"
22/06/2021,"1379,97","+7,34(+0,53%)",746.947.557,"22.393,00 tỷ",35.119.300,"1.920,31 tỷ",39.791.606,"1.818,68 tỷ"
21/06/2021,"1372,63","-5,14(-0,37%)",768.183.176,"22.660,00 tỷ",24.898.511,"1.200,95 tỷ",51.009.011,"2.300,61 tỷ"
18/06/2021,"1377,77","+17,85(+1,31%)",809.465.947,"23.734,00 tỷ",52.506.300,"2.558,34 tỷ",51.972.605,"2.193,13 tỷ"
17/06/2021,"1359,92","+3,40(+0,25%)",768.729.797,"22.518,00 tỷ",35.675.760,"1.702,96 tỷ",40.869.849,"1.816,03 tỷ"
16/06/2021,"1356,52","-10,84(-0,79%)",769.633.642,"23.433,00 tỷ",39.769.194,"1.769,95 tỷ",40.639.006,"1.836,35 tỷ"
15/06/2021,"1367,36","+5,64(+0,41%)",730.942.289,"24.425,00 tỷ",39.449.900,"1.876,80 tỷ",37.929.300,"1.765,41 tỷ"
14/06/2021,"1361,72","+9,98(+0,74%)",775.724.500,"25.335,00 tỷ",39.401.666,"1.756,98 tỷ",46.354.336,"1.834,17 tỷ"
11/06/2021,"1351,74","+28,16(+2,13%)",731.261.767,"23.765,00 tỷ",43.847.133,"1.932,11 tỷ",33.525.833,"1.318,30 tỷ"
10/06/2021,"1323,58","-9,32(-0,70%)",723.488.009,"25.351,00 tỷ",42.268.122,"2.081,96 tỷ",42.399.622,"1.832,50 tỷ"
09/06/2021,"1332,90","+13,02(+0,99%)",822.292.698,"25.873,00 tỷ",45.700.700,"1.728,19 tỷ",64.381.108,"2.375,60 tỷ"
08/06/2021,"1319,88","-38,90(-2,86%)",924.505.795,"30.296,00 tỷ",39.947.200,"1.822,08 tỷ",47.938.238,"2.179,90 tỷ"
07/06/2021,"1358,78","-15,27(-1,11%)",876.692.825,"28.922,00 tỷ",35.545.000,"1.543,74 tỷ",48.881.500,"2.190,59 tỷ"
04/06/2021,"1374,05","+9,77(+0,72%)",943.329.047,"31.308,00 tỷ",41.734.000,"1.678,50 tỷ",63.931.355,"3.191,56 tỷ"
03/06/2021,"1364,28","+23,50(+1,75%)",898.882.094,"29.308,00 tỷ",34.903.470,"1.461,03 tỷ",50.052.570,"2.509,23 tỷ"
02/06/2021,"1340,78","+3,00(+0,22%)",805.241.535,"26.142,00 tỷ",32.729.405,"1.613,65 tỷ",51.433.605,"2.826,14 tỷ"
01/06/2021,"1337,78","+9,73(+0,73%)",629.421.189,"21.762,00 tỷ",19.714.300,"815,61 tỷ",28.904.409,"1.409,31 tỷ"
31/05/2021,"1328,05","+7,59(+0,57%)",737.174.593,"25.458,00 tỷ",26.260.606,"1.281,06 tỷ",65.365.097,"2.965,65 tỷ"
28/05/2021,"1320,46","+16,89(+1,30%)",768.849.713,"24.798,00 tỷ",30.219.400,"1.251,48 tỷ",27.343.000,"1.235,52 tỷ"
27/05/2021,"1303,57","-13,13(-1,00%)",732.998.065,"24.088,00 tỷ",36.049.324,"1.750,98 tỷ",34.086.024,"1.643,06 tỷ"
26/05/2021,"1316,70","+8,12(+0,62%)",713.069.002,"21.689,00 tỷ",28.989.100,"1.113,75 tỷ",22.876.300,"993,88 tỷ"
